X1,Datetime,TweetId,Text,FoundWord,start_text,end_text,country_predicted,country_conf,admin1,lat,lon,country_code3,geonameid,place_name,feature_class,feature_code
22,2021-02-19 23:59:42+00:00,1362914789656264706,#StayStrongTexas  my heart.💔 for the situation in #Texas. I am in a small town in #Canada but am thinking of #families in #TexasPowerOutages and the extreme cold. Hoping other states even Canada send hydro trucks and personnel to help get that power back on. #HelpTexas,Texas,51,56,USA,0.9463525414466858,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
23,2021-02-19 23:59:42+00:00,1362914789656264706,#StayStrongTexas  my heart.💔 for the situation in #Texas. I am in a small town in #Canada but am thinking of #families in #TexasPowerOutages and the extreme cold. Hoping other states even Canada send hydro trucks and personnel to help get that power back on. #HelpTexas,Canada,83,89,CAN,0.9470949172973633,NA,60.10867,-113.64258,CAN,6251999,Canada,A,PCLI
24,2021-02-19 23:59:42+00:00,1362914789656264706,#StayStrongTexas  my heart.💔 for the situation in #Texas. I am in a small town in #Canada but am thinking of #families in #TexasPowerOutages and the extreme cold. Hoping other states even Canada send hydro trucks and personnel to help get that power back on. #HelpTexas,Canada,188,194,CAN,0.9470949172973633,NA,60.10867,-113.64258,CAN,6251999,Canada,A,PCLI
25,2021-02-19 23:59:42+00:00,1362914789144596480,Update: Closed: Other Weather: EB on Rt. 643E at MM4 in Brunswick Co. All EB &amp; all WB travel lanes closed. 6:58PM,MM4,49,52,CMR,0.28365933895111084,,,,,,,,
26,2021-02-19 23:59:42+00:00,1362914789094170627,"@Eagle1190591196 @GovAbbott Hi Eagle,

Why do you think Arkansas’ snow plows are connected to global warming?

Thanks, 
Mike",Arkansas,56,64,USA,0.9634982943534851,Arkansas,34.75037,-92.50044,USA,4099753,Arkansas,A,ADM1
27,2021-02-19 23:59:41+00:00,1362914788297367554,@TonyStewart Florida sun and rain to snow but they were happy to see you! Enjoy the snowmobile time which I am sure you will! I just left the snow in Pa. to come home to Florida sunshine!,Florida,13,20,CHL,0.8212683200836182,Valparaíso,-33.05429,-71.62239,CHL,9034691,8va. Comisaria Florida de Carabineros de Valparaiso,S,PP
28,2021-02-19 23:59:41+00:00,1362914788297367554,@TonyStewart Florida sun and rain to snow but they were happy to see you! Enjoy the snowmobile time which I am sure you will! I just left the snow in Pa. to come home to Florida sunshine!,Pa.,150,153,CMR,0.19553735852241516,,,,,,,,
29,2021-02-19 23:59:41+00:00,1362914788297367554,@TonyStewart Florida sun and rain to snow but they were happy to see you! Enjoy the snowmobile time which I am sure you will! I just left the snow in Pa. to come home to Florida sunshine!,Florida,170,177,CHL,0.8212683200836182,Valparaíso,-33.05429,-71.62239,CHL,9034691,8va. Comisaria Florida de Carabineros de Valparaiso,S,PP
30,2021-02-19 23:59:41+00:00,1362914785671659521,Update: Closed: Other Weather: EB on Rt. 643E at MM4 in Brunswick Co. All EB &amp; all WB travel lanes closed. 6:58PM,MM4,49,52,CMR,0.28365933895111084,,,,,,,,
31,2021-02-19 23:59:40+00:00,1362914783838699522,"@LukeGromen If we are in a solar minimum ice age, say Texas freezes over for another week, electric grid meltdown, plumbing destruction etc.. the green narrative, and i think dollar and bitcoin will be exposed as scam.",Texas,54,59,USA,0.9634982943534851,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
32,2021-02-19 23:59:39+00:00,1362914778495156224,"@MoveOn @IndivisibleTeam We can help AOC &amp; Beto KEEP doing more to support Texans than the GOP governor &amp; senator have. 

Neither AOC nor Beto left a dog to freeze or fled to Cancun.

They just do their jobs + GOP's jobs, too. #FledCruzResign #BetoCaresAboutTexans #AOC 

https://t.co/VH1L9DV8pJ",Cancun,183,189,MEX,0.9571880102157593,Quintana Roo,21.17429,-86.84656,MEX,3531673,Cancún,P,PPL
33,2021-02-19 23:59:38+00:00,1362914774804271107,AOC coming to Houston. The winter storm shoulda killed me this is my moment.,Houston,14,21,USA,0.9571880102157593,Texas,29.76328,-95.36327,USA,4699066,Houston,P,PPLA2
34,2021-02-19 23:59:38+00:00,1362914774456107010,Yep they melted up in the Texas storm...still want to use them...very odd!.. https://t.co/H9fP8uMvVD,Texas,26,31,USA,0.9634982943534851,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
35,2021-02-19 23:59:37+00:00,1362914769192296450,@tedcruz Some facts Ted! You said on Feb 15th you didn’t lose power! You were on a flight to Cancun on the 17th and your girls and wife are still there so when did you lose power for 2 days such that everyone in the family had to huddle around fire place? WOW!,Cancun,93,99,MEX,0.9571880102157593,Quintana Roo,21.17429,-86.84656,MEX,3531673,Cancún,P,PPL
36,2021-02-19 23:59:36+00:00,1362914764909924352,"@ThatEricAlper David Bowie. He and Imam were stuck on the same snow-delayed flight as my party. We almost rented a car together, but we ended up taking Amtrak from Baltimore to NYC.",Baltimore,164,173,USA,0.9571880102157593,Maryland,39.28808,-76.61076,USA,6955120,Baltimore-Towson,L,RGNE
37,2021-02-19 23:59:36+00:00,1362914764909924352,"@ThatEricAlper David Bowie. He and Imam were stuck on the same snow-delayed flight as my party. We almost rented a car together, but we ended up taking Amtrak from Baltimore to NYC.",NYC,177,180,USA,0.9637409448623657,New York,40.75622,-73.94128,USA,9854983,Howard Johnson Inn. Long Island City Nyc Area,S,HTL
38,2021-02-19 23:59:35+00:00,1362914760082264065,"@Amateur_Pro_TV I don't know, you tell me. 

And yes it is, wind is 25% of the Texas grid, half of them went down because they froze. 

Texas experienced the same problem during a freak blizzard, that Cali does every summer.",@Amateur_Pro_TV,0,15,USA,0.23980537056922913,,,,,,,,
39,2021-02-19 23:59:35+00:00,1362914760082264065,"@Amateur_Pro_TV I don't know, you tell me. 

And yes it is, wind is 25% of the Texas grid, half of them went down because they froze. 

Texas experienced the same problem during a freak blizzard, that Cali does every summer.",Texas,79,84,USA,0.9612489938735962,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
40,2021-02-19 23:59:35+00:00,1362914760082264065,"@Amateur_Pro_TV I don't know, you tell me. 

And yes it is, wind is 25% of the Texas grid, half of them went down because they froze. 

Texas experienced the same problem during a freak blizzard, that Cali does every summer.",Texas,136,141,USA,0.9612489938735962,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
41,2021-02-19 23:59:35+00:00,1362914760082264065,"@Amateur_Pro_TV I don't know, you tell me. 

And yes it is, wind is 25% of the Texas grid, half of them went down because they froze. 

Texas experienced the same problem during a freak blizzard, that Cali does every summer.",Cali,201,205,COL,0.8212683200836182,Valle del Cauca,3.43722,-76.5225,COL,3687925,Cali,P,PPLA
42,2021-02-19 23:59:34+00:00,1362914756584112128,"@wfaalauren You are right!  Being a Syracuse NY native ... I fled this stuff to be in the warm DFW area, however, the weather this week makes me appreciate the 105 degree July/August days.",Syracuse,36,44,USA,0.9571880102157593,New York,43.04812,-76.14742,USA,5140405,Syracuse,P,PPLA2
43,2021-02-19 23:59:34+00:00,1362914756584112128,"@wfaalauren You are right!  Being a Syracuse NY native ... I fled this stuff to be in the warm DFW area, however, the weather this week makes me appreciate the 105 degree July/August days.",NY,45,47,SWE,0.28365933895111084,,,,,,,,
44,2021-02-19 23:59:33+00:00,1362914754491125761,LIVE: KVUE News at 6 | Bringing you the latest on the statewide energy crisis as the ice melts across Texas #austin #austinenergy #austinwater #texas #austinweather | https://t.co/E8wizWvazH https://t.co/ikrRVsc8uw,Texas,102,107,USA,0.9634982943534851,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
45,2021-02-19 23:59:33+00:00,1362914752616427526,"@oahnait @WSJ And you know where they lived &amp; I currently live! In Wisconsin where the weather can be -45 below F. Advice from where? What country are you in? I’ve been through MANY polar vortex, several feet of snow winters my whole life. I’ve driven to work. I’ve walked to school.",Wisconsin,71,80,USA,0.9634982943534851,Wisconsin,44.50024,-90.00041,USA,5279468,Wisconsin,A,ADM1
46,2021-02-19 23:59:33+00:00,1362914751534272512,"@thehill She is abolutely correct, the Constitution has a measured amount of fluidity, but when you turn it to water it will slip through our hands and evaporate.
       Ron V  disabled vietnam vet",vietnam,186,193,VNM,0.9571880102157593,NA,16.16667,107.83333,VNM,1562822,Socialist Republic of Vietnam,A,PCLI
47,2021-02-19 23:59:33+00:00,1362914751320371202,@RambouilletAssn We're talking basic services. Heat and water.  Plenty of warning. I believe El Paso did take appropriate preemptive steps and did not have the crisis.,El Paso,93,100,COL,0.28365933895111084,,,,,,,,
48,2021-02-19 23:59:32+00:00,1362914748535238658,Day 5 Texas freeze https://t.co/J2RLgHA8K4,Texas,6,11,USA,0.9634982943534851,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
49,2021-02-19 23:59:32+00:00,1362914748443086849,"Vote Texas!
""w/o an ounce of irony/self-awareness of what its own panel had to say in Jan.,TPPF pounced on the blackouts this week as a chance to bash renewables.""
The Texas Think Tank Giving Cover for This Week’s Republican Wind Power Lies https://t.co/QeuUK6rRFD via @EARTH3R",Texas,5,10,USA,0.9612489938735962,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
50,2021-02-19 23:59:32+00:00,1362914748443086849,"Vote Texas!
""w/o an ounce of irony/self-awareness of what its own panel had to say in Jan.,TPPF pounced on the blackouts this week as a chance to bash renewables.""
The Texas Think Tank Giving Cover for This Week’s Republican Wind Power Lies https://t.co/QeuUK6rRFD via @EARTH3R",Texas,168,173,USA,0.9612489938735962,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
51,2021-02-19 23:59:31+00:00,1362914744227667968,"@leahhongdraws Hi Leah!
I’m Marianne Blackstone Tabner and also my first SCBWI winter conference! Exciting! Are you  a published author ? How’s the weather in Vancouver?",Vancouver,159,168,CAN,0.9048774242401123,British Columbia,49.65064,-125.44939,CAN,6173336,Vancouver Island,T,ISL
52,2021-02-19 23:59:31+00:00,1362914743510564869,"@Terca_Lumireis water! 

HEALTHY snacks!",@Terca_Lumireis,0,15,,0.0,,,,,,,,
53,2021-02-19 23:59:30+00:00,1362914740738158592,"A volunteer fire department ran out of water during a fire. A man searched 8 hours for food. These are the stories of the Texas storm

https://t.co/79ihAE17kb",Texas,122,127,USA,0.9634982943534851,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
54,2021-02-19 23:59:30+00:00,1362914739538571265,"@toomanycowz Ummm we also need to eat so Farmers do tend to be somewhat important too. As to the waterways, there is no way we're going to sustain population growth without an increased water supply. Not the way we are lowering the Ogallala Aquifer, going to need to come up with something.",Ogallala Aquifer,232,248,USA,0.24821266531944275,,,,,,,,
55,2021-02-19 23:59:29+00:00,1362914738276081665,"I'd bet the State of Texas moves to weatherize our power grid.

The real question is who pays for it. 

Should Texas? Should the for-profit companies?

Who should absolutely NOT pay for it: low income Texans. 

They already paid for it this week. #txlege

https://t.co/7T2LJ1un5t",Texas,111,116,USA,0.9634982943534851,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
56,2021-02-19 23:59:29+00:00,1362914737328173056,"@ScottTheWoz Looks at snow, laughs in new york",new york,38,46,USA,0.9637409448623657,New York,43.00035,-75.4999,USA,5128638,New York,A,ADM1
57,2021-02-19 23:59:29+00:00,1362914735595741185,@folha Tanta bomba pra nada. Vai ter que substituir o whey por Power Horse.,Tanta,7,12,BFA,0.6840587854385376,Est,13.1827,0.19435,BFA,2354821,Tanta,P,PPL
58,2021-02-19 23:59:29+00:00,1362914735595741185,@folha Tanta bomba pra nada. Vai ter que substituir o whey por Power Horse.,por Power Horse,59,74,IRL,0.9048774242401123,Munster,52.35917,-7.6025,IRL,2963831,Gurteen Le Poer,S,EST
59,2021-02-19 23:59:28+00:00,1362914730478768129,"@lawlerb @FPSPredatorsHA @zervle @ndrew_lawrence Also, I’d like to point out that I never said solar energy was the sole source of power...simply that this station had one of the biggest solar setups in Antarctica.",Antarctica,203,213,ATA,0.3105928897857666,,,,,,,,
60,2021-02-19 23:59:27+00:00,1362914728394317824,Truck series night in America! Wet weather start as well! I’m hyped!,America,22,29,USA,0.9516947865486145,Wyoming,41.54357,-109.85903,USA,5830444,Little America,P,PPL
61,2021-02-19 23:59:26+00:00,1362914724212400130,"@Gayer_Than_Thou I thought they previously determined that there had been (or is) water on Mars. But, don’t quote me.🤷‍♀️",@Gayer_Than_Thou,0,16,,0.0,,,,,,,,
62,2021-02-19 23:59:26+00:00,1362914724212400130,"@Gayer_Than_Thou I thought they previously determined that there had been (or is) water on Mars. But, don’t quote me.🤷‍♀️",Mars,91,95,USA,0.28365933895111084,,,,,,,,
63,2021-02-19 23:59:24+00:00,1362914717224812550,"They're from the government and they are here to help.  LOL 
Vaccine sites in NJ, Pa. coping with winter weather, delayed shipments https://t.co/pcVkNnmgcW via @6abc",NJ,78,80,THA,0.28868943452835083,,,,,,,,
64,2021-02-19 23:59:24+00:00,1362914717224812550,"They're from the government and they are here to help.  LOL 
Vaccine sites in NJ, Pa. coping with winter weather, delayed shipments https://t.co/pcVkNnmgcW via @6abc",Pa.,82,85,CMR,0.28868943452835083,,,,,,,,
65,2021-02-19 23:59:23+00:00,1362914709322792970,Snowflake 2022...he’s got the snow balls  to stand up for Texas https://t.co/MrFKdcYQ4T,Texas,58,63,USA,0.9634982943534851,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
66,2021-02-19 23:59:22+00:00,1362914708253204482,"@cgyoilgas @JoAnnLawrence56 @erinotoole Check your facts... sask., quebec, Nunavut, BC, Alberta Ontario per 100,000 pop... as of feb 19  ... you do realize you sounded like a trumpette...who gives a rats ass which party is in power in these provinces.",sask,60,64,CAN,0.28868943452835083,,,,,,,,
67,2021-02-19 23:59:22+00:00,1362914708253204482,"@cgyoilgas @JoAnnLawrence56 @erinotoole Check your facts... sask., quebec, Nunavut, BC, Alberta Ontario per 100,000 pop... as of feb 19  ... you do realize you sounded like a trumpette...who gives a rats ass which party is in power in these provinces.",quebec,67,73,CAN,0.8799221515655518,Quebec,52.00017,-71.99907,CAN,6115047,Québec,A,ADM1
68,2021-02-19 23:59:22+00:00,1362914708253204482,"@cgyoilgas @JoAnnLawrence56 @erinotoole Check your facts... sask., quebec, Nunavut, BC, Alberta Ontario per 100,000 pop... as of feb 19  ... you do realize you sounded like a trumpette...who gives a rats ass which party is in power in these provinces.",Nunavut,75,82,CAN,0.9048774242401123,Nunavut,66.03478,-100.07813,CAN,6091732,Nunavut,A,ADM1
69,2021-02-19 23:59:22+00:00,1362914708253204482,"@cgyoilgas @JoAnnLawrence56 @erinotoole Check your facts... sask., quebec, Nunavut, BC, Alberta Ontario per 100,000 pop... as of feb 19  ... you do realize you sounded like a trumpette...who gives a rats ass which party is in power in these provinces.",BC,84,86,CAN,0.9571880102157593,British Columbia,53.99983,-125.0032,CAN,5909050,British Columbia,A,ADM1
70,2021-02-19 23:59:22+00:00,1362914708253204482,"@cgyoilgas @JoAnnLawrence56 @erinotoole Check your facts... sask., quebec, Nunavut, BC, Alberta Ontario per 100,000 pop... as of feb 19  ... you do realize you sounded like a trumpette...who gives a rats ass which party is in power in these provinces.",Alberta Ontario,88,103,USA,0.24821266531944275,,,,,,,,
71,2021-02-19 23:59:21+00:00,1362914702989422595,This Texas weather doing no justice,Texas,5,10,USA,0.9634982943534851,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
72,2021-02-19 23:59:21+00:00,1362914700581830656,Just a reminder but it's still Fuck Blizzard for the shit they pulled with that one player supporting Hong Kong btw.,Hong Kong,102,111,HKG,0.3105928897857666,,,,,,,,
73,2021-02-19 23:59:18+00:00,1362914691647823874,@cenkuygur @joerogan Cali has water and power shortages and endless forest fires. Plus  crime crumbling infrastructure and high taxes.,Cali,21,25,COL,0.9048774242401123,Valle del Cauca,3.43722,-76.5225,COL,3687925,Cali,P,PPLA
74,2021-02-19 23:59:16+00:00,1362914683481559041,"Cardona's story is amazing- he not only led efforts to bring back the Yellow-eared Parrots from near- extinction, but also helped save the Quindio wax palm. Shameful how deadly environmental work can be in Colombia, but more power to those brave enough to do the work. https://t.co/6F6nx0Oi16",Colombia,206,214,COL,0.9516947865486145,Atlántico,11.01667,-74.88333,COL,3671506,Puerto Colombia,A,ADM2
75,2021-02-19 23:59:16+00:00,1362914682093277186,"@TahoeWeather Rain, rain rain here in South Lake, heavy at times – with a bit of sleet mixed in for good measure. Come on, cold front!",South Lake,38,48,USA,0.6353263854980469,North Carolina,36.25375,-78.43602,USA,4492592,South Lake,H,RSV
76,2021-02-19 23:59:15+00:00,1362914676519051265,Fucked this rain ... 😔😔😔,Fucked,0,6,BRA,0.24821266531944275,,,,,,,,
77,2021-02-19 23:59:14+00:00,1362914673557966855,"Asks us to wait patiently while they work on OW2, showing us nothing, and then not balancing OW1 in a meaningful way (listen to your top players Blizzard) in favor of working on OW2. Also, no new content that changes up the game because they're saving it for OW2. #Overwatch",OW2,45,48,NGA,0.5339667797088623,,,,,,,,
78,2021-02-19 23:59:14+00:00,1362914673557966855,"Asks us to wait patiently while they work on OW2, showing us nothing, and then not balancing OW1 in a meaningful way (listen to your top players Blizzard) in favor of working on OW2. Also, no new content that changes up the game because they're saving it for OW2. #Overwatch",OW2,259,262,NGA,0.5339667797088623,,,,,,,,
79,2021-02-19 23:59:14+00:00,1362914672635113472,"still thinking about how they landed a rover on Mars while we were brushing our teeth with bottled water. the poems just write themselves these days, you hate to see it",Mars,48,52,USA,0.28365933895111084,,,,,,,,
80,2021-02-19 23:59:14+00:00,1362914672580689925,"Democracy Now! is 25 today!

It's the greatest news show on air today in America, and I am proud to be a Democracy Now! $25 monthly supporter.

Support the Voice of the Voiceless, @democracynow 

Democracy Now! speaks truth to power; it's the War and Peace Report.",America,73,80,USA,0.9516947865486145,Wyoming,41.54357,-109.85903,USA,5830444,Little America,P,PPL
81,2021-02-19 23:59:13+00:00,1362914668591738880,"The power of Cinlok, selalu bilang ""dia cuma temen kok"". Ahhh smw berawal dari temen hyung wkwkwk 🤣",Cinlok,13,19,USA,0.9221303462982178,Montana,48.59,-109.23128,USA,5644801,Chinook,P,PPLA2
82,2021-02-19 23:59:13+00:00,1362914668591738880,"The power of Cinlok, selalu bilang ""dia cuma temen kok"". Ahhh smw berawal dari temen hyung wkwkwk 🤣",selalu bilang,21,34,IDN,0.24821266531944275,,,,,,,,
83,2021-02-19 23:59:13+00:00,1362914668554059777,@thatexaspapi Still no water in Houston.#abnormal,Houston.#abnormal,32,49,,0.0,,,,,,,,
84,2021-02-19 23:59:13+00:00,1362914668138950658,"so the rabbit hutch in the yard is currently buried under several feet of snow, so the rabbit is right now inside with us. he's figured out that thumping is foot on the ground makes us pick him up, so that's now basically all he does all day",us,182,184,FRA,0.28868943452835083,,,,,,,,
85,2021-02-19 23:59:11+00:00,1362914662744997889,"""The accusation that Mr. Prince violated the U.N.’s arms embargo on #Libya exposes him to possible U.N. sanctions, including a travel ban and a freeze on his bank accounts and other assets — though such an outcome is uncertain.""

https://t.co/U57myT4hKi",Libya,69,74,LBY,0.9516947865486145,NA,28,17,LBY,2215636,Libya,A,PCLI
86,2021-02-19 23:59:10+00:00,1362914658609336320,"@AdamCrigler @tedcruz I live in Texas, I don't like Ted Cruz, but if I had the money I would have bolted, too. I'm more angry that he didn't just own it. ""Yeah I left, fuck off."" That would have earned him some respect. But instead just more sniveling excuses that hold less water than a busted pipe.",Texas,32,37,USA,0.9634982943534851,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
87,2021-02-19 23:59:10+00:00,1362914656990363648,"Terence Corcoran:  Texas crisis will reshape energy policy-making everywhere as wind-power collapse puts renewables under scrutiny

https://t.co/qtA7CNxToP",Texas,19,24,USA,0.9634982943534851,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
88,2021-02-19 23:59:09+00:00,1362914651693015040,@jadefalcon68 @JimHendren1 @elyse4design @GOP When people storm the United States Capital that is by definition an insurrection. Size really doesn't matter. At best you can call it Barbarians at the Gate.,United States Capital,68,89,USA,0.9637409448623657,"Washington, D.C.",38.88983,-77.00887,USA,4140827,United States Capitol,S,BLDG
89,2021-02-19 23:59:08+00:00,1362914647343575041,Man Reportedly Freezes To Death In Recliner as Winter Storm Ravages Texas https://t.co/ayUqgJ48v9,Texas,68,73,USA,0.9634982943534851,Texas,31.25044,-99.25061,USA,4736286,Texas,A,ADM1
90,2021-02-19 23:59:08+00:00,1362914646353735683,"@FOX4 I’ll put it briefly, I was in Romania and Moldova Xmas of ‘16 thru NYE ‘17 with temperatures lower for longer than this past week and people had power, buses were running, malls open, hell outdoor marker was still open.  Basically, satellite countries of communist bloc 1/2",Romania,36,43,ROU,0.954474687576294,NA,46,25,ROU,798549,România,A,PCLI
91,2021-02-19 23:59:08+00:00,1362914646353735683,"@FOX4 I’ll put it briefly, I was in Romania and Moldova Xmas of ‘16 thru NYE ‘17 with temperatures lower for longer than this past week and people had power, buses were running, malls open, hell outdoor marker was still open.  Basically, satellite countries of communist bloc 1/2",Moldova,48,55,MDA,0.9531790018081665,NA,47.25,28.58333,MDA,617790,Republic of Moldova,A,PCLI
92,2021-02-19 23:59:07+00:00,1362914644650827776,"#bristol #weather 19/2/2021, Temp Hi=12.3C/Lo=5.1C, Baro Hi=1007.0 mb/Lo=1000.6 mb, Max Gust=32mph, Rain=0.6mm, Sun Hrs=00:00",Rain=0.6mm,100,110,CIV,0.24821266531944275,,,,,,,,
